run,bus_id,station,time,duration,direction
1,6,X03,1379,58,1
1,6,X04,1520,51,1
1,3,X09,1846,58,0
1,13,X17,2778,59,0
1,13,X16,2949,59,0
1,8,X14,2983,56,1
1,13,X15,3076,54,0
1,10,X18,3854,53,1
1,13,X08,3899,54,0
1,10,X19,3957,53,1
1,3,X08,4099,59,1
1,3,X09,4245,55,1
1,12,X20,4424,51,1
1,2,X08,4579,51,0
1,1,X17,4895,52,1
1,15,X12,5302,51,1
1,13,X04,5808,56,1
1,11,X14,6675,53,1
1,11,X16,6988,54,1
1,9,X20,7471,51,0
1,9,X14,8183,52,0
1,2,X18,8202,53,1
1,14,X05,8826,55,1
1,14,X06,8964,56,1
1,14,X07,9101,53,1
1,9,X04,9388,58,0
1,13,X09,9513,58,0
1,13,X08,9632,59,0
1,11,X02,10062,54,0
1,11,X01,10192,58,0
1,6,X07,11168,54,0
1,3,X19,11279,59,1
1,10,X12,11313,58,0
1,3,X20,11438,55,1
1,7,X14,11730,52,1
1,7,X15,11842,54,1
1,8,X02,12087,57,0
1,9,X20,12969,58,1
1,13,X16,13098,56,1
1,8,X06,13646,52,1
1,12,X06,14349,53,1
1,4,X20,14604,52,1
1,15,X02,14619,58,0
1,15,X01,14747,57,0
1,8,X17,14945,52,1
1,6,X13,16233,58,0
1,10,X18,16361,57,0
1,10,X17,16500,53,0
1,14,X14,17522,52,0
1,8,X06,17531,59,0
1,14,X13,17669,53,0
1,8,X05,17676,55,0
1,8,X04,17802,53,0
1,12,X06,18204,53,0
1,12,X05,18354,51,0
1,14,X02,19052,51,0
1,15,X11,19384,54,0
1,15,X10,19535,57,0
1,10,X04,19625,56,1
1,14,X02,20025,54,1
1,11,X08,20799,53,0
1,11,X06,21053,57,0
1,0,X11,21158,57,0
1,11,X05,21222,59,0
1,0,X10,21336,55,0
1,11,X04,21338,54,0
1,15,X16,23260,53,1
1,1,X20,23339,54,0
1,2,X04,23853,53,1
1,2,X06,24141,58,1
1,2,X07,24257,54,1
1,4,X08,24800,59,1
1,13,X16,26392,52,0
1,1,X05,26900,55,1
1,1,X06,27055,54,1
1,1,X07,27220,55,1
1,10,X17,27275,56,1
1,1,X08,27345,53,1
1,10,X18,27472,59,1
1,10,X19,27613,56,1
1,13,X06,27736,58,0
1,7,X01,27827,55,1
1,13,X05,27908,54,0
1,7,X02,27952,56,1
1,0,X02,28558,58,0
1,8,X15,28723,53,0
1,12,X19,28913,55,0
1,11,X05,28987,58,1
1,12,X18,29044,56,0
1,11,X06,29105,56,1
1,12,X17,29182,51,0
1,11,X07,29219,57,1
1,11,X08,29395,52,1
1,1,X19,29581,57,0
1,10,X11,29602,56,0
1,12,X07,30434,53,0
1,3,X13,30685,54,0
1,2,X10,30784,55,1
1,11,X20,30787,59,1
1,3,X12,30822,58,0
1,11,X11,32691,51,0
1,11,X10,32819,52,0
1,11,X08,33045,52,0
1,14,X14,33729,55,1
1,13,X05,33855,51,0
1,0,X07,33886,54,0
1,14,X15,33934,55,1
1,0,X06,34011,56,0
1,14,X17,34214,57,1
1,0,X01,34640,52,0
1,1,X19,35697,52,0
1,9,X15,36044,59,1
1,2,X04,36103,55,1
1,9,X16,36163,59,1
1,9,X17,36342,53,1
1,10,X02,36586,51,0
1,3,X14,36695,53,0
1,11,X18,36743,59,1
1,11,X19,36869,58,1
1,3,X12,36938,53,0
1,13,X19,37138,51,1
1,1,X07,37235,52,0
1,16,X11,37599,55,1
1,16,X12,37769,52,1
1,3,X02,38127,56,0
1,15,X07,38313,55,0
1,13,X16,38566,57,0
1,13,X15,38672,53,0
1,7,X05,38867,52,0
1,12,X12,39134,54,1
1,11,X07,39275,58,0
1,7,X03,40352,56,1
1,7,X04,40511,55,1
1,9,X06,41119,58,1
1,9,X07,41253,59,1
1,9,X08,41402,53,1
1,8,X03,42206,58,0
1,14,X09,42680,51,0
1,15,X15,43455,58,0
1,11,X17,44214,53,0
1,11,X16,44339,57,0
1,4,X20,44529,52,1
1,12,X09,44929,55,1
1,13,X14,44991,59,0
1,12,X10,45064,56,1
1,13,X13,45124,58,0
1,12,X11,45188,53,1
1,2,X18,45208,56,0
1,4,X20,45250,53,0
1,2,X10,46232,56,0
1,2,X09,46342,54,0
1,4,X07,46859,59,0
1,0,X01,46937,52,0
1,4,X06,47004,59,0
1,3,X19,47137,56,1
1,4,X05,47138,59,0
1,4,X04,47260,58,0
1,6,X10,47266,56,0
1,6,X09,47396,53,0
1,16,X03,47667,57,0
1,7,X14,47783,57,1
1,16,X02,47806,58,0
1,7,X15,47913,52,1
1,16,X01,47928,53,0
1,10,X10,47998,51,0
1,10,X08,48229,54,0
